Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
1 /api/api/auth/login,10,839,148,1243,356.93,0.00%,4.7,6.88,1514.0
7 /api/upload/avatar/,10,87,13,150,38.61,0.00%,4.9,9.15,1905.0
3 /api/upload/cover/,10,22,7,45,12.15,0.00%,4.9,4.81,999.0
2 /api/api/me/notifications/total,10,880,362,1074,205.94,0.00%,3.3,2.56,786.0
4 /api/api/messages,10,996,895,1052,52.69,0.00%,2.8,2.28,828.0
8 /api/api/me/notifications/total,10,947,886,1083,55.00,0.00%,2.9,2.21,786.0
5 /api/api/me/activities,10,947,832,1390,158.71,0.00%,2.6,2.07,828.0
6 /api/api/users/509,10,722,196,947,199.11,0.00%,3.3,4.14,1296.0
9 /api/upload/logo/,10,14,7,27,6.40,0.00%,4.7,5.13,1121.0
10 /api/upload/avatar/,10,9,7,16,2.83,0.00%,4.7,8.72,1905.0
Transaction Controller,10,5467,4485,5731,374.77,0.00%,1.5,17.48,11968.0
TOTAL,110,994,7,5731,1483.26,0.00%,16.5,34.96,2176.0
